subject,session,utt_id,noun,adj,prenominal,adj_stem,noun_stem,x1,x2,x3,x4,x5,mean_typ,article,noun_conc,noun_freq,age
48,3,171607,bib,yellow,TRUE,yellow,bib,4,5,3,5,NA,4.25,a,4.79,116,22
48,3,171607,bag,yellow,FALSE,yellow,bag,2,3,3,2,NA,2.5,a,4.9,677,22
48,3,171610,elephant,pink,TRUE,pink,eleph,2,1,1,1,NA,1.25,an,5,688,22
48,3,171733,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171734,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171741,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171744,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171746,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171748,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171756,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171763,dog,green,TRUE,green,dog,2,1,1,1,NA,1.25,a,4.85,2033,22
48,3,171847,bag,orange,FALSE,orang,bag,3,3,2,NA,NA,2.6666666666666665,a,4.9,677,22
48,3,171855,orange,green,FALSE,green,orang,3,2,1,3,NA,2.25,an,4.66,1195,22
48,3,171855,top,green,FALSE,green,top,3,3,3,2,NA,2.75,a,3.93,1312,22
48,3,172053,balloon,purple,TRUE,purpl,balloon,3,3,3,2,NA,2.75,a,4.92,484,22
48,3,172061,balloon,purple,TRUE,purpl,balloon,3,3,3,2,NA,2.75,a,4.92,484,22
48,3,172162,duck,yellow,TRUE,yellow,duck,6,3,5,6,NA,5,a,4.86,691,22
48,3,172165,duck,yellow,TRUE,yellow,duck,6,3,5,6,NA,5,a,4.86,691,22
48,3,172173,duck,yellow,TRUE,yellow,duck,6,3,5,6,NA,5,a,4.86,691,22
48,3,172177,horse,red,TRUE,red,hors,1,1,2,1,NA,1.25,a,5,767,22
48,3,172201,horse,green,TRUE,green,hors,1,1,1,1,NA,1,a,5,767,22
48,3,172205,horse,green,TRUE,green,hors,1,1,1,1,NA,1,a,5,767,22
48,3,172205,animal,green,FALSE,green,anim,3,2,3,3,NA,2.75,an,4.61,719,22
48,3,172205,puzzle,green,FALSE,green,puzzl,3,3,3,NA,NA,3,a,4.75,1058,22
48,3,172210,apple,red,TRUE,red,appl,7,5,6,3,NA,5.25,an,5,800,22
48,3,172211,apple,red,TRUE,red,appl,7,5,6,3,NA,5.25,an,5,800,22
48,3,172238,dog,red,TRUE,red,dog,2,3,2,NA,NA,2.3333333333333335,a,4.85,2033,22
48,5,173619,circle,yellow,TRUE,yellow,circl,3,3,6,NA,NA,4,a,4.44,974,30
48,5,173918,noodle,orange,TRUE,orang,noodl,3,2,4,2,NA,2.75,a,4.71,123,30
48,5,173967,noodle,yellow,TRUE,yellow,noodl,5,4,3,3,NA,3.75,a,4.71,123,30
48,5,173968,noodle,yellow,TRUE,yellow,noodl,5,4,3,3,NA,3.75,a,4.71,123,30
48,5,173970,noodle,yellow,TRUE,yellow,noodl,5,4,3,3,NA,3.75,a,4.71,123,30
48,5,174090,water,hot,FALSE,hot,water,6,5,5,4,NA,5,NA,5,2636,30
